                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.032,                 4.0699,                 1.3085,                0.04035,                0.89019,                0.11823,                0.08975,                0.85162,                 3.2861,                  1.096,             0.00010983,             0.00010983,             0.00010983
                      2,                0.90657,                 3.3067,                 1.2373,                 0.2906,                0.49314,                0.39969,                0.29945,                0.88027,                 2.2328,                 1.1287,             0.00021771,             0.00021771,             0.00021771
                      3,                0.91142,                 2.7584,                 1.2495,                0.49928,                0.55516,                0.60296,                0.47243,                0.92549,                 1.8679,                 1.1592,             0.00032245,             0.00032245,             0.00032245
                      4,                0.90941,                 2.4799,                 1.2389,                0.49103,                0.59571,                0.64064,                0.50865,                0.87842,                 1.7779,                 1.0952,             0.00031887,             0.00031887,             0.00031887
                      5,                0.85695,                 2.1808,                 1.1979,                0.57784,                0.72249,                0.74993,                0.59539,                0.93236,                 1.3728,                 1.1826,             0.00031416,             0.00031416,             0.00031416
                      6,                0.83352,                 1.9531,                 1.1771,                0.72251,                0.69136,                0.80964,                0.64182,                0.91688,                 1.3035,                 1.2035,             0.00030945,             0.00030945,             0.00030945
                      7,                 0.8292,                 1.8366,                 1.1686,                0.70513,                0.68905,                0.81057,                0.61226,                 1.0348,                 1.3059,                 1.2723,             0.00030474,             0.00030474,             0.00030474
                      8,                0.80639,                 1.7085,                 1.1528,                0.73977,                 0.7708,                0.87228,                0.69211,                0.90377,                 1.0559,                 1.1779,             0.00030003,             0.00030003,             0.00030003
                      9,                0.80394,                 1.6024,                 1.1503,                0.74629,                0.83907,                0.89804,                0.70205,                 0.9587,                0.97262,                 1.2028,             0.00029532,             0.00029532,             0.00029532
                     10,                0.76769,                 1.5341,                 1.1313,                0.77456,                0.77835,                0.88868,                 0.6814,                 1.0282,                0.98635,                 1.2347,             0.00029061,             0.00029061,             0.00029061
